model_old,model_new
iPad Air 2 back camera 3.3mm f/2.4,Apple 3.3mm f/2.4
iPad back camera 4.28mm f/2.4,Apple 4.28mm f/2.4
iPhone SE front camera 2.15mm f/2.4,Apple 2.15mm f/2.4
iPhone SE back camera 4.15mm f/2.2,Apple 4.15mm f/2.2
iPhone SE (1st generation) back camera 4.15mm f/2.2,Apple 4.15mm f/2.2
iPhone SE (1st generation) front camera 2.15mm f/2.4,Apple 2.15mm f/2.4
iPhone SE (2nd generation) back camera 3.99mm f/1.8,Apple 3.99mm f/1.8
iPhone 4 back camera 3.85mm f/2.8,Apple 3.85mm f/2.8
iPhone 4S back camera 4.28mm f/2.4,Apple 4.28mm f/2.4
iPhone 5 front camera 2.18mm f/2.4,Apple 2.18mm f/2.4
iPhone 5 back camera 4.12mm f/2.4,Apple 4.12mm f/2.4
iPhone 5c back camera 4.12mm f/2.4,Apple 4.12mm f/2.4
iPhone 5s back camera 4.15mm f/2.2,Apple 4.15mm f/2.2
iPhone 6 back camera 4.15mm f/2.2,Apple 4.15mm f/2.2
iPhone 6 front camera 2.65mm f/2.2,Apple 2.65mm f/2.2
iPhone 6s back camera 4.15mm f/2.2,Apple 4.15mm f/2.2
iPhone 6s Plus back camera 4.15mm f/2.2,Apple 4.15mm f/2.2
iPhone 7 back camera 3.99mm f/1.8,Apple 3.99mm f/1.8
iPhone 8 back camera 3.99mm f/1.8,Apple 3.99mm f/1.8
iPhone XR back camera 4.25mm f/1.8,Apple 4.25mm f/1.8
iPhone XS back camera 4.25mm f/1.8,Apple 4.25mm f/1.8
iPhone XS back dual camera 4.25mm f/1.8,Apple 4.25mm f/1.8
iPhone XS back dual camera 6mm f/2.4,Apple 6mm f/2.4
iPhone XS front camera 2.87mm f/2.2,Apple 2.87mm f/2.2
iPhone 11 front camera 2.71mm f/2.2,Apple 2.71mm f/2.2
iPhone 11 back dual wide camera 1.54mm f/2.4,Apple 1.55mm f/2.4
iPhone 11 back camera 4.25mm f/1.8,Apple 4.25mm f/1.8
iPhone 11 back dual wide camera 4.25mm f/1.8,Apple 4.25mm f/1.8
iPhone 12 front TrueDepth camera 2.71mm f/2.2,Apple 2.71mm f/2.2
iPhone 12 front camera 2.71mm f/2.2,Apple 2.71mm f/2.2
iPhone 12 back dual wide camera 1.55mm f/2.4,Apple 1.55mm f/2.4
iPhone 12 back camera 4.2mm f/1.6,Apple 4.2mm f/1.6 
iPhone 12 back dual wide camera 4.2mm f/1.6,Apple 4.2mm f/1.6 
iPhone 12 Pro back triple camera 4.2mm f/1.6,Apple 4.2mm f/1.6 
iPhone 12 Pro Max back triple camera 5.1mm f/1.6,Apple 5.1mm f/1.6
iPhone 13 Pro front camera 2.71mm f/2.2,Apple 2.71mm f/2.2
iPhone 13 Pro back triple camera 1.57mm f/1.8,Apple 1.57mm f/1.8
iPhone 13 Pro back camera 9mm f/2.8,Apple 9mm f/2.8
iPhone 13 Pro back dual camera 9mm f/2.8,Apple 9mm f/2.8
iPhone 13 Pro back triple camera 9mm f/2.8,Apple 9mm f/2.8
iPhone 13 Pro back camera 5.7mm f/1.5,Apple 5.7mm f/1.5
iPhone 13 Pro back dual wide camera 5.7mm f/1.5,Apple 5.7mm f/1.5
iPhone 13 Pro back triple camera 5.7mm f/1.5,Apple 5.7mm f/1.5
iPhone 13 mini back camera 5.1mm f/1.6,Apple 5.1mm f/1.6
iPhone 13 mini back dual wide camera 5.1mm f/1.6,Apple 5.1mm f/1.6
iPhone 13 mini front camera 2.71mm f/2.2,Apple 2.71mm f/2.2
iPhone 15 Pro back triple camera 6.764mm f/1.78,Apple 6.77mm f/1.8
iPhone 15 Pro back triple camera 6.765mm f/1.78,Apple 6.77mm f/1.8
iPhone 15 Pro back camera 6.765mm f/1.78,Apple 6.77mm f/1.8
iPhone 15 Pro front TrueDepth camera 2.69mm f/1.9,Apple 2.69mm f/1.9
iPhone 15 Pro back triple camera 9mm f/2.8,Apple 9mm f/2.8
iPhone 15 Pro back triple camera 2.22mm f/2.2,Apple 2.22mm f/2.2
iPhone 16 Pro back triple camera 2.22mm f/2.2,Apple 2.22mm f/2.2
iPhone 16 Pro back triple camera 6.765mm f/1.78,Apple 6.77mm f/1.8
iPhone 16 Pro back triple camera 15.66mm f/2.8,Apple 15.66mm f/2.8
iPhone 16 Pro back camera 15.66mm f/2.8,Apple 15.66mm f/2.8
iPhone 16 Pro back camera 6.765mm f/1.78,Apple 6.77mm f/1.8
iPhone 16 Pro front TrueDepth camera 2.69mm f/1.9,Apple 2.69mm f/1.9
NIKKOR Z 24-120mm f/4 S,Nikkor Z 24-120mm f/4 S
NIKKOR Z 40mm f/2,Nikkor Z 40mm f/2
NIKKOR Z MC 105mm f/2.8 VR S,Nikkor Z 105mm f/2.8 MC VR S
Nikon AF-S DX Nikkor 16-80mm f/2.8-4E ED VR,Nikkor AF-S DX 16-80mm f/2.8-4E ED VR
Viltrox AF 16/1.8 Z,Viltrox AF 16mm f/1.8 Z
